TradeID,AccountID,Pair,Session,Direction,Profit,R,Result,TradeDate
63,10001,GBPUSD,London,Sell,250,1,Win,4/23/2026
64,10005,US30,New York,Sell,-375,-1.5,Loss,2/8/2026
65,10004,US30,London,Sell,300,1.5,Win,5/25/2026
66,10004,US30,London,Sell,200,2,Win,5/18/2026
67,10002,XAUUSD,New York,Buy,250,2.5,Win,3/15/2026
68,10004,GBPUSD,London,Sell,625,2.5,Win,7/4/2026
69,10005,GBPUSD,New York,Sell,-125,-0.5,Loss,1/20/2026
70,10004,EURUSD,New York,Sell,-100,-1,Loss,5/7/2026
71,10004,GBPUSD,New York,Sell,500,2,Win,5/9/2026
72,10004,US30,London,Buy,50,1,Win,2/16/2026
73,10002,US30,London,Sell,500,2.5,Win,6/18/2026
74,10004,US30,New York,Sell,500,2.5,Win,2/28/2026
75,10003,US30,London,Buy,50,1,Win,1/25/2026
76,10005,GBPUSD,London,Buy,375,1.5,Win,1/12/2026
77,10006,EURUSD,London,Sell,200,2,Win,6/25/2026
78,10001,EURUSD,London,Sell,500,2,Win,6/9/2026
79,10001,GBPUSD,London,Buy,-50,-1,Loss,4/16/2026
80,10006,EURUSD,New York,Sell,600,3,Win,5/29/2026
81,10004,US30,New York,Buy,-375,-1.5,Loss,1/8/2026
82,10005,US30,London,Sell,-375,-1.5,Loss,2/13/2026
83,10002,US30,New York,Sell,-100,-0.5,Loss,5/4/2026
84,10003,GBPUSD,New York,Sell,200,2,Win,4/30/2026
85,10003,GBPUSD,New York,Sell,600,3,Win,5/9/2026
86,10002,EURUSD,London,Buy,-100,-1,Loss,5/27/2026
87,10001,US30,New York,Sell,375,1.5,Win,6/30/2026
88,10004,GBPUSD,New York,Sell,500,2,Win,7/1/2026
89,10003,XAUUSD,New York,Sell,75,1.5,Win,5/25/2026
90,10002,XAUUSD,London,Buy,500,2.5,Win,2/23/2026
91,10003,XAUUSD,London,Buy,300,1.5,Win,6/4/2026
92,10001,GBPUSD,New York,Buy,375,1.5,Win,1/8/2026
93,10004,EURUSD,New York,Sell,75,1.5,Win,1/31/2026
94,10004,US30,London,Buy,150,3,Win,3/10/2026
95,10002,GBPUSD,New York,Buy,250,2.5,Win,2/12/2026
96,10003,US30,New York,Sell,-200,-1,Loss,5/18/2026
97,10006,EURUSD,London,Buy,100,1,Win,5/30/2026
98,10001,GBPUSD,London,Buy,750,3,Win,3/7/2026
99,10006,EURUSD,London,Sell,125,2.5,Win,3/20/2026
100,10004,GBPUSD,New York,Buy,150,1.5,Win,6/29/2026
